"","Admission Date","Company Name","ICB Industry","ICB Super-Sector","Country of Incorporation","World Region","Market","International Issuer","Company Market Cap (£m)"
"","27/09/2004","OJSC ROSTELECOM","Telecommunications","Telecommunications","Russian Federation","Europe","ADMISSION TO TRADING ONLY ","Yes","-"
"","05/11/2010","O'KEY GROUP S.A.","Consumer Staples ","Personal Care, Drug and Grocery Stores ","Luxembourg","Europe","MAIN MARKET ","Yes","-"
"","17/07/2018","OKYO PHARMA LIMITED","Health Care ","Health Care  ","Guernsey","Europe","MAIN MARKET ","No","11.21"
"","26/06/2018","OLD MUTUAL LIMITED","Financials","Insurance","South Africa","Africa","MAIN MARKET ","Yes","4,195.32"
"","21/12/2010","OMEGA DIAGNOSTICS GROUP PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","22.48"
"","20/10/2016","OMV PETROM S.A.","Energy","Energy","Romania","Europe","MAIN MARKET ","Yes","-"
"","18/05/2016","ONCIMMUNE HOLDINGS PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","22.45"
"","18/04/2013","ONE MEDIA IP GROUP PLC","Consumer Discretionary","Media","United Kingdom","Europe","AIM ","No","7.8"
"","10/06/2014","ONESAVINGS BANK PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","1,900.26"
"","18/12/1996","ONLINE BLOCKCHAIN PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","1.17"
"","22/09/2015","ON THE BEACH GROUP PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","MAIN MARKET ","No","511.47"
"","09/02/2018","ONTHEMARKET PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","56.09"
"","14/12/2012","OPEN ORPHAN PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","26.96"
"","30/05/2008","OPG POWER VENTURES PLC","Utilities","Utilities","Isle of Man","Europe","AIM ","No","69.13"
"","05/08/2014","OPTIBIOTIX HEALTH PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","53.4"
"","20/04/2011","ORACLE POWER PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","11.79"
"","13/03/2012","ORASCOM INVESTMENT HOLDING S.A.E","Telecommunications","Telecommunications","Egypt","Middle East","MAIN MARKET ","Yes","-"
"","01/07/2015","ORCHARD FUNDING GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","17.08"
"","03/11/2005","ORCHID PHARMA LIMITED","Health Care ","Health Care  ","India","Asia","ADMISSION TO TRADING ONLY ","Yes","-"
"","18/10/2017","ORIENT TELECOMS PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","1.03"
"","05/06/2007","ORIGIN ENTERPRISES PLC","Consumer Staples ","Food, Beverage and Tobacco ","Ireland","Europe","AIM ","Yes","411.79"
"","14/12/2009","ORIGO PARTNERS PLC","Financials","Financial Services ","Isle of Man","Europe","AIM ","No","2.18"
"","04/01/2006","ORIOLE RESOURCES PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","3.09"
"","19/04/2005","ORMONDE MINING PLC","Basic Materials","Basic Resources","Ireland","Europe","AIM ","Yes","3.19"
"","15/12/2004","OROSUR MINING INC","Basic Materials","Basic Resources","Canada","North America","AIM ","Yes","4.33"
"","02/03/1995","ORYX INTERNATIONAL GROWTH FUND LTD","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","139.08"
"","15/04/2016","OSIRIUM TECHNOLOGIES PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","4.58"
